economy_code,economy,year,variable,value
17_SGP,Singapore,1990,Population,2988.681
17_SGP,Singapore,1991,Population,3090.501
17_SGP,Singapore,1992,Population,3182.081
17_SGP,Singapore,1993,Population,3270.848
17_SGP,Singapore,1994,Population,3364.936
17_SGP,Singapore,1995,Population,3470.698
17_SGP,Singapore,1996,Population,3596.551
17_SGP,Singapore,1997,Population,3732.569
17_SGP,Singapore,1998,Population,3860.676
17_SGP,Singapore,1999,Population,3942.159
17_SGP,Singapore,2000,Population,3990.955
17_SGP,Singapore,2001,Population,4079.535
17_SGP,Singapore,2002,Population,4152.797
17_SGP,Singapore,2003,Population,4140.988
17_SGP,Singapore,2004,Population,4135.502
17_SGP,Singapore,2005,Population,4210.033
17_SGP,Singapore,2006,Population,4326.694
17_SGP,Singapore,2007,Population,4487.422
17_SGP,Singapore,2008,Population,4705.608
17_SGP,Singapore,2009,Population,4907.874
17_SGP,Singapore,2010,Population,5029.261
17_SGP,Singapore,2011,Population,5124.767
17_SGP,Singapore,2012,Population,5239.711
17_SGP,Singapore,2013,Population,5346.968
17_SGP,Singapore,2014,Population,5424.209
17_SGP,Singapore,2015,Population,5491.591
17_SGP,Singapore,2016,Population,5559.088
17_SGP,Singapore,2017,Population,5596.771
17_SGP,Singapore,2018,Population,5611.386
17_SGP,Singapore,2019,Population,5657.353
17_SGP,Singapore,2020,Population,5681.772
17_SGP,Singapore,2021,Population,5558.529
17_SGP,Singapore,2022,Population,5534.051
17_SGP,Singapore,2023,Population,5765.718
17_SGP,Singapore,2024,Population,5812.461
17_SGP,Singapore,2025,Population,5865.11
17_SGP,Singapore,2026,Population,5914.901
17_SGP,Singapore,2027,Population,5961.003
17_SGP,Singapore,2028,Population,6008.468
17_SGP,Singapore,2029,Population,6054.549
17_SGP,Singapore,2030,Population,6103.495
17_SGP,Singapore,2031,Population,6150.066
17_SGP,Singapore,2032,Population,6197.907
17_SGP,Singapore,2033,Population,6243.33
17_SGP,Singapore,2034,Population,6288.504
