economy_code,economy,year,variable,value
02_BD,Brunei Darussalam,1990,Population,251.663
02_BD,Brunei Darussalam,1991,Population,258.922
02_BD,Brunei Darussalam,1992,Population,266.271
02_BD,Brunei Darussalam,1993,Population,273.408
02_BD,Brunei Darussalam,1994,Population,280.535
02_BD,Brunei Darussalam,1995,Population,287.648
02_BD,Brunei Darussalam,1996,Population,294.743
02_BD,Brunei Darussalam,1997,Population,301.808
02_BD,Brunei Darussalam,1998,Population,308.875
02_BD,Brunei Darussalam,1999,Population,315.896
02_BD,Brunei Darussalam,2000,Population,322.927
02_BD,Brunei Darussalam,2001,Population,329.921
02_BD,Brunei Darussalam,2002,Population,336.769
02_BD,Brunei Darussalam,2003,Population,343.429
02_BD,Brunei Darussalam,2004,Population,349.845
02_BD,Brunei Darussalam,2005,Population,355.976
02_BD,Brunei Darussalam,2006,Population,361.855
02_BD,Brunei Darussalam,2007,Population,367.47
02_BD,Brunei Darussalam,2008,Population,374.275
02_BD,Brunei Darussalam,2009,Population,381.311
02_BD,Brunei Darussalam,2010,Population,388.594
02_BD,Brunei Darussalam,2011,Population,396.07
02_BD,Brunei Darussalam,2012,Population,402.707
02_BD,Brunei Darussalam,2013,Population,408.406
02_BD,Brunei Darussalam,2014,Population,413.998
02_BD,Brunei Darussalam,2015,Population,419.503
02_BD,Brunei Darussalam,2016,Population,424.92
02_BD,Brunei Darussalam,2017,Population,430.208
02_BD,Brunei Darussalam,2018,Population,435.336
02_BD,Brunei Darussalam,2019,Population,440.283
02_BD,Brunei Darussalam,2020,Population,445.077
02_BD,Brunei Darussalam,2021,Population,449.73
02_BD,Brunei Darussalam,2022,Population,453.711
02_BD,Brunei Darussalam,2023,Population,457.028
02_BD,Brunei Darussalam,2024,Population,460.869
02_BD,Brunei Darussalam,2025,Population,463.69
02_BD,Brunei Darussalam,2026,Population,466.324
02_BD,Brunei Darussalam,2027,Population,468.826
02_BD,Brunei Darussalam,2028,Population,471.344
02_BD,Brunei Darussalam,2029,Population,473.647
02_BD,Brunei Darussalam,2030,Population,475.233
02_BD,Brunei Darussalam,2031,Population,476.821
02_BD,Brunei Darussalam,2032,Population,478.259
02_BD,Brunei Darussalam,2033,Population,479.398
02_BD,Brunei Darussalam,2034,Population,480.554
02_BD,Brunei Darussalam,2035,Population,481.324
