year,economy_code,economy,labour,efficiency
1990,17_SGP,Singapore,2988.681,19.72578193327592
1991,17_SGP,Singapore,3090.501,20.260453453478878
1992,17_SGP,Singapore,3182.081,20.822523608699726
1993,17_SGP,Singapore,3270.848,23.052168140298715
1994,17_SGP,Singapore,3364.936,25.334950997853007
1995,17_SGP,Singapore,3470.698,26.080485679635018
1996,17_SGP,Singapore,3596.551,26.52538001366973
1997,17_SGP,Singapore,3732.569,27.30150853922681
1998,17_SGP,Singapore,3860.676,24.09983816534623
1999,17_SGP,Singapore,3942.159,24.77331811568732
2000,17_SGP,Singapore,3990.955,26.951138048949595
2001,17_SGP,Singapore,4079.535,24.91930208592805
2002,17_SGP,Singapore,4152.797,25.388390567662977
2003,17_SGP,Singapore,4140.988,26.80657947533561
2004,17_SGP,Singapore,4135.502,30.61015483085321
2005,17_SGP,Singapore,4210.033,32.98271442240301
2006,17_SGP,Singapore,4326.694,36.00358708641672
2007,17_SGP,Singapore,4487.422,38.74393108747904
2008,17_SGP,Singapore,4705.608,36.71202225637571
2009,17_SGP,Singapore,4907.874,34.000367293736936
2010,17_SGP,Singapore,5029.261,40.061795637374175
2011,17_SGP,Singapore,5124.767,41.88528752851294
2012,17_SGP,Singapore,5239.711,42.35988991628845
2013,17_SGP,Singapore,5346.968,43.17695438429458
2014,17_SGP,Singapore,5424.209,43.70725859238778
2015,17_SGP,Singapore,5491.591,43.7744027090295
2016,17_SGP,Singapore,5559.088,44.55817247328447
2017,17_SGP,Singapore,5596.771,46.08786500333994
2018,17_SGP,Singapore,5611.386,47.384503448172815
2019,17_SGP,Singapore,5657.353,46.87281435177626
2020,17_SGP,Singapore,5681.772,43.24789198909498
2021,17_SGP,Singapore,5558.529,50.56841711911351
2022,17_SGP,Singapore,5534.051,52.93351065695804
2023,17_SGP,Singapore,5765.718,50.79643522215076
2024,17_SGP,Singapore,5812.461,53.080422870960625
2025,17_SGP,Singapore,5839.515,55.48990547395741
2026,17_SGP,Singapore,5863.472,56.89523164732337
2027,17_SGP,Singapore,5883.615,58.37837105306827
2028,17_SGP,Singapore,5905.103,59.851938648275315
2029,17_SGP,Singapore,5925.275,61.34539007868881
2030,17_SGP,Singapore,5933.034,63.09542321706424
2031,17_SGP,Singapore,5938.914,65.5633264668573
2032,17_SGP,Singapore,5946.728,67.27441856484083
2033,17_SGP,Singapore,5952.924,68.89109853916486
2034,17_SGP,Singapore,5959.846,70.99031504961715
2035,17_SGP,Singapore,5957.839,73.05061856030562
2036,17_SGP,Singapore,5951.12,75.05112760324732
2037,17_SGP,Singapore,5941.158,77.12187744781407
2038,17_SGP,Singapore,5931.821,79.26150960657635
2039,17_SGP,Singapore,5920.76,81.48033270638892
2040,17_SGP,Singapore,5905.395,83.78604925041849
2041,17_SGP,Singapore,5886.192,86.15508790269756
